832
1871
 256   12    1    0
 257   12    1    1
 258   12    2    0
 259   12    2    1
 260   11    1    0
 261   11    1    1
 262   11    2    0
 263   11    2    1
 264    9    2    1
 265    9    2    0
 266    9    1    1
 267    9    1    0
 268   10    2    1
 269   10    2    0
 270   10    1    1
 271   10    1    0
 288    4    2    0
 289    4    2    1
 290    4    1    0
 291    4    1    1
 292    3    2    0
 293    3    2    1
 294    3    1    0
 295    3    1    1
 296    1    1    1
 297    1    1    0
 298    1    2    1
 299    1    2    0
 300    2    1    1
 301    2    1    0
 302    2    2    1
 303    2    2    0
 304    5    2    0
 305    5    2    1
 306    5    1    0
 307    5    1    1
 308    6    2    0
 309    6    2    1
 310    6    1    0
 311    6    1    1
 312    8    1    1
 313    8    1    0
 314    8    2    1
 315    8    2    0
 316    7    1    1
 317    7    1    0
 318    7    2    1
 319    7    2    0
 320   13    1    0
 321   13    1    1
 322   13    2    0
 323   13    2    1
 324   14    1    0
 325   14    1    1
 326   14    2    0
 327   14    2    1
 328   16    2    1
 329   16    2    0
 330   16    1    1
 331   16    1    0
 332   15    2    1
 333   15    2    0
 334   15    1    1
 335   15    1    0
 384   12    3    0
 385   12    3    1
 386   12    4    0
 387   12    4    1
 388   11    3    0
 389   11    3    1
 390   11    4    0
 391   11    4    1
 392    9    4    1
 393    9    4    0
 394    9    3    1
 395    9    3    0
 396   10    4    1
 397   10    4    0
 398   10    3    1
 399   10    3    0
 416    4    4    0
 417    4    4    1
 418    4    3    0
 419    4    3    1
 420    3    4    0
 421    3    4    1
 422    3    3    0
 423    3    3    1
 424    1    3    1
 425    1    3    0
 426    1    4    1
 427    1    4    0
 428    2    3    1
 429    2    3    0
 430    2    4    1
 431    2    4    0
 432    5    4    0
 433    5    4    1
 434    5    3    0
 435    5    3    1
 436    6    4    0
 437    6    4    1
 438    6    3    0
 439    6    3    1
 440    8    3    1
 441    8    3    0
 442    8    4    1
 443    8    4    0
 444    7    3    1
 445    7    3    0
 446    7    4    1
 447    7    4    0
 448   13    3    0
 449   13    3    1
 450   13    4    0
 451   13    4    1
 452   14    3    0
 453   14    3    1
 454   14    4    0
 455   14    4    1
 456   16    4    1
 457   16    4    0
 458   16    3    1
 459   16    3    0
 460   15    4    1
